State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
Pennsylvania,Not in a city,2864,16.241969273743017,39.1106843575419,8.58868715083799,1.6166201117318435,40.3072625698324
Pennsylvania,Erie,2799,18.021078956770275,39.23329760628796,10.940693104680243,3.2730521801286634,40.037513397642016
Virginia,Vinton,541,9.358595194085028,39.74861367837338,0.6192236598890942,3.299445471349353,39.74861367837338
Ohio,Cincinnati,1372,21.388483965014576,35.21209912536443,12.843294460641399,3.513868613138686,39.23396501457726
Maryland,Grantsville,746,4.345844504021447,39.14343163538874,3.403485254691689,1.98255033557047,39.19034852546917
Delaware,Wilmington,909,21.557755775577558,35.41034103410341,2.8283828382838285,3.8393839383938393,39.01210121012101
Louisiana,Baton Rouge,5834,26.815906753513882,33.92697977374014,11.404010970174838,6.232641865249443,38.88292766540967
Oklahoma,Cherry Tree,893,5.443449048152296,38.81298992161254,1.7984322508398656,1.9966367713004485,38.816349384098544
Kansas,Kansas City,5515,27.634814143245695,32.616681776971895,12.159927470534905,8.004354136429608,38.81233000906618
Kansas,Not in a city,2359,7.419245442984315,38.45188639253921,2.9215769393810938,3.1237812632471385,38.63459092835947
Maryland,Beltsville,1847,17.31672983216026,36.456957227937195,3.857065511640498,3.2387655657823498,38.161884136437465
Rhode Island,East Providence,1582,14.368520859671301,37.63653603034134,1.6675094816687737,3.162025316455696,38.12958280657396
Oklahoma,Tulsa,2827,18.733639900955076,37.119207640608415,3.038203042094093,4.632082152974505,38.05978068623983
Florida,Valrico,639,11.646322378716745,37.81377151799687,6.758998435054773,2.491392801251956,37.9452269170579
Alabama,Birmingham,782,21.228900255754475,36.831202046035806,7.005115089514066,3.8516624040920715,37.785166240409204
Connecticut,New Haven,3006,27.26413838988689,32.40552228875582,6.2375249500998,4.517310252996006,37.77378576180971
Texas,Houston,8405,25.61273051754908,31.520285544318856,10.79619274241523,4.273961185855459,37.66365258774539
Connecticut,Cornwall,1835,4.735149863760218,37.490463215258856,1.0534059945504086,1.9792802617230099,37.5716621253406
Virginia,Not in a city,1649,16.76228016979988,35.52334748332323,10.164948453608247,5.532160194174757,37.4990903577926
